title,event,eventTime
塞尔维亚足协主席感染新冠病,虎扑3月14日讯 ，塞尔维亚足协官方对外通报：足协主席科克茨经检测呈阳性，初步确诊感染新冠病毒。据悉，目前科克茨本人状态良好，已进行隔离。,2020-03-14
佛罗伦萨足球运动员库特罗内与佩泽拉新冠病毒检测为阳性 ,虎扑3月14日讯：佛罗伦萨官方宣布，球队新星库特罗内与队长佩泽拉感染新冠病毒。目前，库特罗内与佩泽拉已经在家中进行隔离，除此之外，球队的理疗师也被感染。现在算上前锋弗拉霍维奇，紫百合已经有三名球员感染新冠病毒，万幸的是他们的症状较轻。,2020-03-14
佛罗伦萨证实前锋弗拉霍维奇冠状病毒检测呈阳性 ,虎扑3月14日讯 ，意大利佛罗伦萨俱乐部在官方网站中证实，前锋弗拉霍维奇在新型冠状病毒检测中呈阳性。但目前球员没有任何症状，正在家中进行隔离治疗。,2020-03-14
意大利医生斯特拉因新冠肺炎去世,意大利安莎通讯社消息称，意大利北部瓦雷兹市医学协会主席罗伯托·斯特拉（Roberto Stella）去世，享年67岁。报道称，他感染新冠肺炎引起呼吸衰竭而入院治疗。意大利全国医生和医学联合会发表声明哀悼斯特拉的去世，并肯定了他对意大利医学领域做出的贡献。声明还表示，希望政府能够更加重视意大利医生和护士所面临的危险。,2020-03-14
伊朗高级指挥官感染新冠肺炎去世,土耳其阿纳多卢通讯社14日援引伊朗半官方的法尔斯通讯社消息报道，伊朗革命卫队指挥官纳赛尔·沙巴尼准将死于新冠病毒肺炎。沙巴尼1982年在两伊战争期间从军。,2020-03-14
迈阿密市长弗朗西斯-苏亚雷斯经检测确诊新型冠状肺炎,虎扑3月14日讯 根据《迈阿密先驱报》记者Joey Flechas的报道，迈阿密市长弗朗西斯-苏亚雷斯经检测确诊新型冠状肺炎。苏亚雷斯此前曾经与巴西总统博索纳罗会面，但根据央视新闻的报道，博索纳罗在其个人社交媒体账号上称其检测结果为阴性（没有确诊）。,2020-03-14
伊朗马什哈德市长及检察长确诊感染新冠肺炎 ,据伊朗法尔斯通讯社13日报道，伊朗拉扎维呼罗珊省省会马什哈德市市长穆罕默德·雷扎·卡拉伊和检察长侯赛因·杜鲁迪新冠病毒测试均呈阳性。目前两人状况良好，均已接受隔离。,2020-03-13
莱加内斯总经理确诊感染，全队中止训练 ,虎扑3月13日讯 莱加内斯官方宣布，俱乐部总经理 Martín Ortega 确诊，俱乐部中止训练，所有和他有过密切接触的人员将进行隔离和检测。,2020-03-13
意大利切内市市长病逝,中新网3月15日电 据欧联网援引欧联通讯社报道，意大利伦巴第大区是全国新冠肺炎疫情最严重的地区，大区所辖的贝加莫市则是意大利疫情最严重的省府所在地。贝加莫省府14日通报，该省所辖市镇切内市(Cene)市长因感染新冠肺炎病毒不幸病逝，成为了意大利首位感染新冠肺炎病毒殉职的地方官。,2020-03-13
澳大利亚内政部长新冠病毒检测呈阳性,澳大利亚内政部长彼得·达顿（Peter Dutton）3月13日确诊感染新冠肺炎。彼得.达顿今天早上醒来，就有发烧和嗓子疼等症状，他与昆士兰州卫生部联系，接受了新冠肺炎病毒检测，检测结果是阳性。,2020-03-13
切尔西证实奥多伊确诊感染新冠病毒 ,虎扑3月13日讯 切尔西官方发布声明，球队前锋奥多伊新冠状病毒检测结果呈阳性。俱乐部将根据政府的指导方针，对于与奥多伊有过接触的相关人员进行隔离。这些人包括，球队一线队队员，教练组，以及幕后工作人员。,2020-03-13
加拿大总理夫人确诊新冠  总理接受隔离,据加拿大CBC刚刚消息，加拿大总理特鲁多的妻子新冠病毒检测呈阳性。加拿大总理府12日发表声明说，加总理特鲁多目前在家办公进行自我隔离，等待其妻子索菲的新冠病毒检测结果。声明说，索菲于11日出现低烧等轻微流感症状，目前正在自我隔离,2020-03-13
阿森纳主帅阿尔特塔确诊感染新型冠状病毒,虎扑3月13日讯 根据阿森纳官方的消息，阿森纳主帅阿尔特塔确诊感染型新冠状病毒。阿森纳方面称，和阿尔特塔有过密切接触的阿森纳成员将进行自我隔离，阿森纳的科尔尼训练基地将暂时关闭，并进行深度清洁。,2020-03-13
联合国总部出现首例新冠肺炎患者 为菲律宾代表团成员 ,3月12日，联合国消息人士称联合国总部出现首例新冠肺炎确诊患者，该名患者是菲律宾常驻联合国代表团成员。受新冠疫情影响，第74届联大五委会议自3月12日起开始远程磋商，这是联大五委历史上首次。,2020-03-12
莱斯特城多名队员出现新冠症状  已被隔离 ,虎扑3月12日讯 刚刚，罗杰斯在赛前新闻发布会上确认：队内的几名员确实出现新冠症状，目前已被隔离。早些时候，《电讯报》等媒体就已经透露：某家英超俱乐部3名一线队队员出现新冠症状。而莱斯特城的所有球员在今天都接受了冠状病毒检测，检测结果预计明天出来。,2020-03-12
巴西总统助手确诊感染新冠肺炎 ,据巴西媒体Estadao报道，巴西总统博索纳罗的助手确诊感染新冠肺炎。巴西媒体曝出，这名助手上周曾陪同​​​​博索纳罗访问美国，并与美国总统特朗普和副总统彭斯会面，其回国时已有症状。目前博索纳罗本人正在接受观察。 ​,2020-03-12
米切尔新冠肺炎检测结果呈阳性,犹他爵士球员米切尔新冠肺炎检测结果呈阳性,2020-03-12
桑普前锋加比亚迪尼确诊新型冠状病毒,虎扑3月12日讯  桑普多利亚官方宣布，队内前锋加比亚迪尼确诊新型冠状病毒。加比亚迪尼也成为了继尤文的鲁加尼后，第二位确诊的意甲球员。,2020-03-12
迈凯伦车队成员确诊新冠 退出F1澳大利亚站,3月12日，F1迈凯伦车队官方发布声明，一名车队员工新型冠状病毒检测结果呈阳性， 并且已经递交退出澳大利亚大奖赛申请。,2020-03-12
皇马篮球队一球员确诊新冠病毒,虎扑3月12日讯 根据欧洲媒体的报道，西班牙皇家马德里男篮的一位球员新冠病毒检测结果呈阳性。欧冠篮球赛事组同时决定暂时暂停欧冠联赛、欧洲杯和欧冠青少年锦标赛。,2020-03-12
98岁天文学泰斗韩天芑及其夫人已治愈,经浙大二院医护团队20个日夜的治疗和护理，98岁天文学泰斗韩天芑及85岁夫人已治愈待出院。这也是浙江援湖北医疗队目前收治的年龄最大的新冠肺炎患者。,2020-03-12
汤姆汉克斯夫妇确证新冠肺炎,据著名网站Variety报道，好莱坞知名演员汤姆-汉克斯和其妻子Rita Wilson在今天发布了联合声明，他们被确诊患上了新冠病毒，成为第一对确诊的明星夫妇。,2020-03-12
西班牙领土政策和公共职能部部长新冠病毒检测结果呈阳性,当地时间3月12日，在西班牙社会平等部部长伊莱娜·蒙特罗新冠病毒检测呈阳性之后，领土政策和公共职能部部长卡洛琳娜·达里亚斯确认感染，是继平等大臣后第二位感染新冠病毒的内阁成员。,2020-03-12
戈贝尔新冠病毒检测呈阳性,戈贝尔的新冠病毒检测呈阳性（确定感染）。消息人士透露，戈贝尔感觉良好，情况稳定，身体状况甚至还可以参加今天的比赛。,2020-03-12
西班牙社会平等部大臣新冠病毒检测结果呈阳性,3月12日，媒体报道称西班牙社会平等部大臣伊莱娜·蒙特罗新冠病毒检测结果呈阳性。目前，她和自己的伴侣西班牙第二副首相巴勃罗·伊格莱西亚斯一起在家隔离。,2020-03-12
尤文官方：鲁加尼确认感染新型冠状病毒,根据尤文官方的消息，尤文的意大利后卫鲁加尼确认感染新型冠状病毒，但他目前没有明显的症状。,2020-03-12
伊朗第一副总统确认感染新冠肺炎,伊朗第一副总统贾汉吉里感染新冠肺炎，目前已接受隔离。报道称，伊朗目前已经有包括三名内阁成员在内的多名官员感染了新冠肺炎,2020-03-11
诺丁汉森林队老板马里纳基斯确认感染新冠病毒,3月11日，英格兰诺丁汉森林队的希腊老板马里纳基斯发表声明确认，自己感染了新冠病毒。52岁的马里纳基斯在四天前观看了诺丁汉森林和米尔沃尔的英冠联赛，还和俱乐部的球迷们一起合影留念。,2020-03-11
